report_date,comparison_period,nrd_phase,spine,launch_date,metric,value_2019_baseline,value_current,pct_change
Jul-2024,Q4-2019 vs Q4-2023,Phase 1,H-Spine,Jun-2021,scheduled_km_million,1.4,2.0,42.9
Jul-2024,Q4-2019 vs Q4-2023,Phase 2,C-Spine,Nov-2021,scheduled_km_million,5.2,6.8,30.8
Jul-2024,Q4-2019 vs Q4-2023,Phase 3,N-Orbital,May-2022,scheduled_km_million,1.3,2.6,100.0
Jul-2024,Q4-2019 vs Q4-2023,Phase 4,G-Spine,Oct-2022,scheduled_km_million,2.9,3.8,31.0
Jul-2024,Q4-2019 vs Q4-2023,Phase 5a,W-Orbital,Jun-2023,scheduled_km_million,,1.3,
Jul-2024,Q4-2019 vs Q4-2023,Phase 5b,W+S-Orbital,Nov-2023,scheduled_km_million,3.3,5.0,51.5
Jul-2024,Q4-2019 vs Q4-2023,Phase 1,H-Spine,Jun-2021,pax_boardings_million,4.8,5.4,12.5
Jul-2024,Q4-2019 vs Q4-2023,Phase 2,C-Spine,Nov-2021,pax_boardings_million,16.7,18.9,13.2
Jul-2024,Q4-2019 vs Q4-2023,Phase 3,N-Orbital,May-2022,pax_boardings_million,2.4,5.4,125.0
Jul-2024,Q4-2019 vs Q4-2023,Phase 4,G-Spine,Oct-2022,pax_boardings_million,7.8,9.0,15.4
Jul-2024,Q4-2019 vs Q4-2023,Phase 5a,W-Orbital,Jun-2023,pax_boardings_million,,1.3,
Jul-2024,Q4-2019 vs Q4-2023,No NRD Phase,Non-BusConnects,,pax_boardings_million,114.0,114.7,0.6
Jul-2024,Q4-2019 vs Q4-2023,Phase 1,H-Spine,Jun-2021,punctuality_pct,63.9,69.7,9.1
Jul-2024,Q4-2019 vs Q4-2023,Phase 2,C-Spine,Nov-2021,punctuality_pct,56.8,68.6,20.8
Jul-2024,Q4-2019 vs Q4-2023,Phase 4,G-Spine,Oct-2022,punctuality_pct,64.3,64.9,0.9
Jul-2024,Q4-2019 vs Q4-2023,Phase 5a,W-Orbital,Jun-2023,punctuality_pct,59.0,74.6,26.4
Jul-2024,Q4-2019 vs Q4-2023,No NRD Phase,Non-BusConnects,,punctuality_pct,59.3,63.3,6.7
Jul-2024,Q4-2019 vs Q4-2023,Full Network,Full Network,,punctuality_pct,,65.1,
Jul-2024,Q4-2019 vs Q4-2023,Phase 2,C-Spine,Nov-2021,ewt_minutes,2.06,1.33,-35.4
Jul-2024,Q4-2019 vs Q4-2023,Phase 3,N-Orbital,May-2022,ewt_minutes,3.66,1.77,-51.6
Jul-2024,Q4-2019 vs Q4-2023,Phase 4,G-Spine,Oct-2022,ewt_minutes,2.35,1.29,-45.1
Jul-2024,Q4-2019 vs Q4-2023,No NRD Phase,Non-BusConnects,,ewt_minutes,2.39,2.35,-1.7
Jul-2024,Q4-2019 vs Q4-2023,Full Network,Full Network,,ewt_minutes,,2.16,
Jul-2024,Q4-2019 vs Q4-2023,Phase 1,H-Spine,Jun-2021,lost_km_pct,2.4,2.4,0.0
Jul-2024,Q4-2019 vs Q4-2023,Phase 2,C-Spine,Nov-2021,lost_km_pct,3.8,2.9,-23.7
Jul-2024,Q4-2019 vs Q4-2023,Phase 3,N-Orbital,May-2022,lost_km_pct,7.2,3.4,-52.8
Jul-2024,Q4-2019 vs Q4-2023,Phase 4,G-Spine,Oct-2022,lost_km_pct,4.1,2.4,-41.5
Jul-2024,Q4-2019 vs Q4-2023,Phase 5a,W-Orbital,Jun-2023,lost_km_pct,4.1,3.0,-26.8
Jul-2024,Q4-2019 vs Q4-2023,No NRD Phase,Non-BusConnects,,lost_km_pct,,3.6,
Jul-2024,Q4-2019 vs Q4-2023,Full Network,Full Network,,lost_km_pct,,3.4,
Jul-2024,Q4-2019 vs Q4-2023,Phase 1,H-Spine,Jun-2021,csat_net_satisfied_pct,,80.0,
Jul-2024,Q4-2019 vs Q4-2023,Phase 1,H-Spine,Jun-2021,csat_net_satisfied_pct_by_phase,,89.0,
Jul-2024,Q4-2019 vs Q4-2023,Phase 2,C-Spine,Nov-2021,csat_net_satisfied_pct_by_phase,,73.0,
Jul-2024,Q4-2019 vs Q4-2023,Phase 3,N-Orbital,May-2022,csat_net_satisfied_pct_by_phase,,84.0,
Jul-2024,Q4-2019 vs Q4-2023,Phase 4,G-Spine,Oct-2022,csat_net_satisfied_pct_by_phase,,76.0,
Mar-2025,Q2-2019 vs Q2-2024,Phase 1,H-Spine,Jun-2021,scheduled_km_million,1.4,2.0,42.9
Mar-2025,Q2-2019 vs Q2-2024,Phase 2,C-Spine,Nov-2021,scheduled_km_million,5.2,7.1,36.5
Mar-2025,Q2-2019 vs Q2-2024,Phase 3,N-Orbital,May-2022,scheduled_km_million,1.0,2.5,150.0
Mar-2025,Q2-2019 vs Q2-2024,Phase 4,G-Spine,Oct-2022,scheduled_km_million,2.9,3.8,31.0
Mar-2025,Q2-2019 vs Q2-2024,Phase 5a,W-Orbital,Jun-2023,scheduled_km_million,,1.3,
Mar-2025,Q2-2019 vs Q2-2024,Phase 5b,W+S-Orbital,Nov-2023,scheduled_km_million,2.6,5.6,115.4
